error,time_centr,times,alpha,dijkstra_time,R_number,speed_up,nodes,edges,sparsity,k,name_city,node_group,node_group_gap,density,average_clustering,avg number of points in cluster,diameter,average degrees,modularity
2.408895963918243,0.5434989929199219,12.003600835800173,0.011,10.506311655044556,10089445,0.8752633312922217,1476,2103,1.4247967479674797,90.9090909090909,Копейск,8,"(1453.0, 1629.0]",0.0019319277938542,0.045189701897019,90.9090909090909,106,2.84959349593496,0.8947629103092767
2.6017277570256487,0.4576256275177002,11.130596399307253,0.014,10.506311655044556,10089445,0.9439127319088174,1476,2103,1.4247967479674797,71.42857142857142,Копейск,8,"(1453.0, 1629.0]",0.0019319277938542,0.045189701897019,71.42857142857142,106,2.84959349593496,0.9001744219305844
7.551250404366209,0.2918481826782226,8.53167724609375,0.022,10.506311655044556,10089445,1.231447387423721,1476,2103,1.4247967479674797,45.45454545454545,Копейск,8,"(1453.0, 1629.0]",0.0019319277938542,0.045189701897019,45.45454545454545,106,2.84959349593496,0.900694476947883
5.011557834628626,0.2105391025543213,6.3375890254974365,0.045,10.506311655044556,10089445,1.6577773681403891,1476,2103,1.4247967479674797,22.22222222222222,Копейск,8,"(1453.0, 1629.0]",0.0019319277938542,0.045189701897019,22.22222222222222,106,2.84959349593496,0.8704164216190033
6.868844913024147,0.2061412334442138,5.299418210983276,0.07,10.506311655044556,10089445,1.9825405802602567,1476,2103,1.4247967479674797,14.285714285714285,Копейск,8,"(1453.0, 1629.0]",0.0019319277938542,0.045189701897019,14.285714285714285,106,2.84959349593496,0.8254806156275625
13.689858776183543,0.2385659217834472,4.485590696334839,0.127,10.506311655044556,10089445,2.342235920818461,1476,2103,1.4247967479674797,7.874015748031496,Копейск,8,"(1453.0, 1629.0]",0.0019319277938542,0.045189701897019,7.874015748031496,106,2.84959349593496,0.7407819682906622
14.61743534313693,0.3241863250732422,4.3895769119262695,0.215,10.506311655044556,10089445,2.3934679505214755,1476,2103,1.4247967479674797,4.651162790697675,Копейск,8,"(1453.0, 1629.0]",0.0019319277938542,0.045189701897019,4.651162790697675,106,2.84959349593496,0.6328185466994705
9.258471288495938,0.4609432220458984,4.883912563323975,0.363,10.506311655044556,10089445,2.1512079749220563,1476,2103,1.4247967479674797,2.7548209366391183,Копейск,8,"(1453.0, 1629.0]",0.0019319277938542,0.045189701897019,2.7548209366391183,106,2.84959349593496,0.47434579905209645
6.648397831472179,0.6454834938049316,6.632063150405884,0.582,10.506311655044556,10089445,1.5841694231155756,1476,2103,1.4247967479674797,1.718213058419244,Копейск,8,"(1453.0, 1629.0]",0.0019319277938542,0.045189701897019,1.718213058419244,106,2.84959349593496,0.29208369991559274
0.9717061450042792,0.3333272933959961,9.148181438446043,0.011,4.726511955261231,10092921,0.5166613700289815,827,1151,1.3917775090689235,90.90909090909092,Olmaliq,3,"(742.0, 849.0]",0.0033699213294647,0.0423619508262797,90.90909090909092,70,2.7835550181378474,0.814056601708483
3.29479470122625,0.2056808471679687,6.72804856300354,0.018,4.726511955261231,10092921,0.702508596809417,827,1151,1.3917775090689235,55.55555555555556,Olmaliq,3,"(742.0, 849.0]",0.0033699213294647,0.0423619508262797,55.55555555555556,70,2.7835550181378474,0.8551189952302269
10.220859434416315,0.119788646697998,4.872888803482056,0.034,4.726511955261231,10092921,0.9699609709714232,827,1151,1.3917775090689235,29.41176470588235,Olmaliq,3,"(742.0, 849.0]",0.0033699213294647,0.0423619508262797,29.41176470588235,70,2.7835550181378474,0.8561606611106122
13.31491878725806,0.0945074558258056,3.3486568927764893,0.06,4.726511955261231,10092921,1.4114649862925532,827,1151,1.3917775090689235,16.666666666666668,Olmaliq,3,"(742.0, 849.0]",0.0033699213294647,0.0423619508262797,16.666666666666668,70,2.7835550181378474,0.8268570147516496
13.87978239947351,0.0902965068817138,2.67771577835083,0.104,4.726511955261231,10092921,1.765128320740683,827,1151,1.3917775090689235,9.615384615384617,Olmaliq,3,"(742.0, 849.0]",0.0033699213294647,0.0423619508262797,9.615384615384617,70,2.7835550181378474,0.7752179383922567
19.34481876688753,0.1052920818328857,2.468151807785034,0.166,4.726511955261231,10092921,1.9150005037586777,827,1151,1.3917775090689235,6.024096385542168,Olmaliq,3,"(742.0, 849.0]",0.0033699213294647,0.0423619508262797,6.024096385542168,70,2.7835550181378474,0.6899821180690534
19.97054173633665,0.1289081573486328,2.723045110702514,0.287,4.726511955261231,10092921,1.735745007192277,827,1151,1.3917775090689235,3.484320557491289,Olmaliq,3,"(742.0, 849.0]",0.0033699213294647,0.0423619508262797,3.484320557491289,70,2.7835550181378474,0.5632887505368731
21.350993619205045,0.1642353534698486,3.237971782684326,0.435,4.726511955261231,10092921,1.4597137567835392,827,1151,1.3917775090689235,2.2988505747126435,Olmaliq,3,"(742.0, 849.0]",0.0033699213294647,0.0423619508262797,2.2988505747126435,70,2.7835550181378474,0.4148407949571294
7.823039771409696,0.237889289855957,4.555728197097778,0.799,4.726511955261231,10092921,1.0374876969772364,827,1151,1.3917775090689235,1.2515644555694618,Olmaliq,3,"(742.0, 849.0]",0.0033699213294647,0.0423619508262797,1.2515644555694618,70,2.7835550181378474,0.144293369343774
6.784710010292132,1.553537368774414,14.905930519104004,0.012,27.58190107345581,10185071,1.850397802277812,3327,4971,1.4941388638412985,83.33333333333333,Магнитогорск,14,"(3281.0, 3990.0]",0.0008984599301511,0.0532111010920751,83.33333333333333,91,2.988277727682597,0.9113169397998229
